Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms)
latin,0.708,0.797,-3.095,0.0391,0.4,0.096,88.015,210000.0
hip hop,0.453,0.538,-8.212,0.0638,0.449,0.19,122.973,204533.0
hip hop,0.572,0.519,-8.054,0.243,0.000415,0.129,100.453,169355.0
rock,0.651,0.806,-4.842,0.0311,0.00399,0.0927,125.641,239877.0
latin,0.87,0.706,-5.395,0.126,0.0253,0.0872,100.013,145800.0
hip hop,0.915,0.612,-4.535,0.407,0.0944,0.115,129.93,118547.0
hip hop,0.896,0.72,-6.262,0.355,0.169,0.252,140.1,212093.0
hip hop,0.932,0.578,-4.478,0.366,0.115,0.115,129.991,111173.0
latin,0.68,0.766,-4.799,0.0923,0.0411,0.116,160.095,180000.0
hip hop,0.875,0.687,-5.734,0.387,0.236,0.141,109.791,125907.0
latin,0.735,0.787,-4.375,0.16,0.667,0.0721,168.997,203093.0
hip hop,0.839,0.594,-9.087,0.139,0.249,0.165,76.007,179844.0
hip hop,0.628,0.712,-4.864,0.156,0.282,0.156,86.627,167827.0
latin,0.882,0.612,-6.103,0.118,0.0475,0.182,147.982,160638.0
hip hop,0.82,0.783,-6.146,0.0621,0.0158,0.0938,130.015,166087.0
hip hop,0.761,0.556,-6.943,0.364,0.138,0.0976,187.81,160357.0
hip hop,0.774,0.588,-8.529,0.225,0.0386,0.258,75.978,147353.0
latin,0.737,0.766,-4.242,0.0458,0.31,0.114,93.956,196500.0
latin,0.651,0.561,-5.715,0.25,0.25,0.435,175.992,189827.0
latin,0.849,0.709,-4.717,0.0794,0.229,0.329,93.06,176627.0
latin,0.795,0.911,-2.228,0.0875,0.0157,0.131,164.081,182093.0
latin,0.828,0.738,-4.295,0.0516,0.0381,0.0917,94.995,142547.0
rap,0.879,0.448,-8.57,0.222,0.0346,0.224,136.985,198913.0
latin,0.731,0.787,-5.26,0.0721,0.0853,0.316,92.971,186693.0
hip hop,0.816,0.582,-4.141,0.341,0.0794,0.0916,160.004,136366.0
hip hop,0.726,0.646,-6.9,0.0977,0.0495,0.112,134.999,163253.0
latin,0.761,0.732,-5.469,0.0549,0.092,0.0716,151.982,243276.0
latin,0.71,0.81,-5.507,0.0854,0.117,0.154,92.041,159282.0
latin,0.81,0.854,-3.999,0.254,0.0732,0.123,154.083,227939.0
rap,0.733,0.567,-6.718,0.319,0.0129,0.382,75.491,238816.0
rap,0.895,0.739,-6.633,0.283,0.0183,0.102,140.007,219340.0
rap,0.747,0.497,-6.542,0.0401,0.248,0.138,142.046,158709.0
rap,0.903,0.535,-6.238,0.286,0.0298,0.0851,130.117,195692.0
latin,0.683,0.677,-4.496,0.0469,0.0869,0.0998,156.019,240253.0
rap,0.802,0.748,-5.708,0.207,0.24,0.165,150.063,193861.0
latin,0.802,0.787,-6.181,0.0599,0.0832,0.153,94.026,167975.0
rap,0.95,0.654,-5.895,0.307,0.0744,0.138,132.936,194844.0
rap,0.862,0.65,-6.978,0.355,0.0207,0.568,131.194,115350.0
latin,0.762,0.801,-3.661,0.0409,0.2,0.254,93.992,136893.0
rap,0.762,0.622,-6.293,0.223,0.352,0.145,130.019,193314.0
latin,0.55,0.598,-5.402,0.0831,0.132,0.0955,83.836,232496.0
rap,0.867,0.768,-3.73,0.0791,0.18,0.254,102.021,181826.0
latin,0.817,0.665,-6.224,0.0758,0.0549,0.103,104.957,215460.0
rap,0.816,0.629,-5.568,0.226,0.133,0.0692,96.493,131607.0
rap,0.71,0.586,-5.331,0.381,0.248,0.193,175.987,185439.0
rap,0.837,0.601,-5.628,0.198,0.21,0.0928,142.977,176756.0
rap,0.786,0.683,-5.397,0.205,0.173,0.706,126.002,233333.0
rap,0.817,0.656,-7.086,0.277,0.051,0.115,139.915,120076.0
rap,0.858,0.547,-5.822,0.29,0.213,0.104,128.02,211883.0
latin,0.734,0.836,-4.803,0.0735,0.017,0.179,80.002,270741.0
latin,0.631,0.665,-7.589,0.229,0.602,0.152,80.353,157967.0
rap,0.741,0.599,-6.672,0.419,0.00961,0.785,139.891,227474.0
rap,0.748,0.771,-4.156,0.15,0.101,0.135,142.086,195058.0
rap,0.776,0.752,-4.711,0.193,0.325,0.33,140.013,192705.0
rap,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,188800.0
rap,0.842,0.556,-6.793,0.442,0.159,0.204,118.836,196639.0
rap,0.702,0.768,-4.055,0.0669,0.541,0.105,70.056,212821.0
rap,0.734,0.703,-6.256,0.355,0.237,0.413,151.923,194452.0
rap,0.803,0.719,-4.485,0.392,0.344,0.425,129.945,238425.0
rap,0.619,0.784,-6.11,0.123,0.0326,0.315,156.035,181161.0
latin,0.82,0.635,-5.749,0.0772,0.409,0.244,101.024,258280.0
rap,0.788,0.436,-9.435,0.364,0.0611,0.0979,129.847,177314.0
rap,0.779,0.707,-6.527,0.16,0.0991,0.0934,140.894,178097.0
rap,0.819,0.654,-6.665,0.136,0.517,0.0996,133.503,188563.0
latin,0.733,0.708,-4.957,0.0937,0.0325,0.324,93.021,186427.0
latin,0.867,0.686,-5.342,0.221,0.311,0.1,139.968,190207.0
latin,0.813,0.764,-3.39,0.105,0.586,0.253,100.047,217773.0
rap,0.556,0.538,-5.408,0.0382,0.0689,0.196,143.95,223347.0
latin,0.729,0.726,-3.208,0.0422,0.223,0.101,92.025,217130.0
hip hop,0.768,0.652,-2.708,0.307,0.113,0.107,154.187,144935.0
rap,0.719,0.611,-5.01,0.0403,0.0582,0.155,129.962,212354.0
rap,0.807,0.678,-3.244,0.177,0.0345,0.0986,147.004,173061.0
rap,0.892,0.486,-8.637,0.384,0.048,0.146,120.998,214215.0
rap,0.823,0.552,-7.57,0.324,0.0174,0.122,124.038,205760.0
latin,0.713,0.798,-3.147,0.219,0.366,0.246,176.073,221103.0
latin,0.658,0.901,-2.814,0.0357,0.0478,0.12,93.979,210520.0
rap,0.881,0.457,-8.191,0.156,0.0327,0.231,136.97,198913.0
rap,0.907,0.539,-7.782,0.36,0.0408,0.253,124.918,150115.0
hip hop,0.817,0.781,-4.178,0.112,0.00838,0.123,104.0,216707.0
latin,0.639,0.791,-4.443,0.253,0.0275,0.362,92.603,222347.0
latin,0.727,0.815,-2.454,0.153,0.0258,0.231,176.075,216067.0
latin,0.795,0.783,-4.271,0.0432,0.361,0.437,92.01,266087.0
latin,0.711,0.757,-4.188,0.29,0.268,0.367,174.013,218587.0
rap,0.915,0.556,-8.601,0.216,0.0145,0.0733,148.964,170947.0
latin,0.73,0.644,-4.124,0.132,0.0933,0.143,174.101,204907.0
hip hop,0.548,0.648,-4.796,0.292,0.0842,0.123,141.937,204319.0
latin,0.524,0.577,-4.501,0.18,0.185,0.103,175.396,201361.0
rap,0.904,0.627,-5.608,0.222,0.0303,0.0923,145.976,224243.0
pop,0.702,0.608,-6.843,0.0359,0.0736,0.129,75.012,195333.0
pop,0.438,0.315,-8.186,0.0375,0.608,0.151,190.064,170587.0
hip hop,0.677,0.633,-7.353,0.0467,0.111,0.217,145.012,232147.0
pop,0.465,0.494,-7.595,0.066,0.49,0.127,127.298,176733.0
pop,0.621,0.873,-3.067,0.0369,0.0406,0.0824,97.96,237800.0
pop,0.772,0.616,-4.673,0.102,0.00337,0.104,129.967,178013.0
pop,0.576,0.807,-3.019,0.0374,0.0185,0.0963,90.932,192737.0
rap,0.687,0.592,-6.378,0.224,0.203,0.279,178.83,225266.0
pop,0.53,0.612,-8.794,0.0518,0.253,0.246,119.255,193847.0
hip hop,0.771,0.921,-4.228,0.109,0.166,0.119,128.021,148125.0
pop,0.853,0.351,-10.198,0.241,0.39,0.752,118.028,221543.0
pop,0.56,0.78,-4.895,0.0517,0.00244,0.0714,93.516,157507.0
pop,0.569,0.84,-4.123,0.118,0.0295,0.0995,183.059,249587.0
pop,0.683,0.534,-10.348,0.189,0.519,0.148,150.469,180567.0
pop,0.681,0.372,-8.237,0.0432,0.64,0.169,91.873,201000.0
pop,0.806,0.546,-6.637,0.0575,0.3,0.102,147.986,212867.0
pop,0.911,0.637,-8.381,0.447,0.0409,0.238,149.996,156882.0
pop,0.866,0.438,-8.943,0.0719,0.177,0.0743,129.039,223258.0
pop,0.609,0.785,-3.32,0.0891,0.0502,0.171,151.995,181467.0
rap,0.559,0.491,-6.406,0.0346,0.0567,0.0992,153.131,244874.0
pop,0.668,0.892,-3.001,0.0645,0.298,0.735,95.927,159011.0
rap,0.804,0.528,-3.231,0.378,0.125,0.41,138.005,184440.0
pop,0.832,0.508,-6.913,0.149,0.0492,0.107,109.352,185427.0
latin,0.743,0.709,-3.922,0.0879,0.0451,0.0809,170.001,258600.0
hip hop,0.554,0.498,-8.866,0.0685,0.23,0.795,79.635,190067.0
latin,0.728,0.542,-5.195,0.0514,0.259,0.136,90.016,227234.0
pop,0.694,0.758,-2.986,0.218,0.278,0.102,192.091,185195.0
pop,0.664,0.666,-2.203,0.0446,0.193,0.0854,139.987,210560.0
hip hop,0.876,0.662,-6.482,0.426,0.0608,0.127,75.445,163320.0
pop,0.795,0.496,-5.883,0.0722,0.108,0.0645,94.01,183000.0
pop,0.679,0.408,-9.754,0.0882,0.133,0.23,129.079,206080.0
pop,0.9,0.4,-8.575,0.127,0.0516,0.0599,135.984,197573.0
rap,0.845,0.631,-8.206,0.216,0.188,0.0806,111.983,279907.0
hip hop,0.6,0.525,-6.585,0.423,0.393,0.111,96.989,162702.0
pop,0.737,0.86,-2.652,0.0594,0.11,0.0574,93.989,193227.0
hip hop,0.837,0.364,-11.713,0.276,0.149,0.271,123.984,213594.0
latin,0.725,0.79,-2.331,0.197,0.0711,0.0602,175.988,287773.0
rap,0.822,0.575,-5.95,0.0934,0.113,0.106,100.087,223000.0
pop,0.679,0.679,-6.747,0.167,0.443,0.153,119.921,148676.0
hip hop,0.794,0.637,-6.29,0.339,0.028,0.0919,103.868,177693.0
hip hop,0.801,0.731,-3.723,0.383,0.188,0.111,105.666,138409.0
